,geneSymbol,moduleColor,GS.morphology,p.GS.morphology,MM.blue,p.MM.blue,MM.turquoise,p.MM.turquoise,MM.grey,p.MM.grey
hsa-mir-122,hsa-mir-122,grey,0.062481531,0.438413379,0.129292747,0.107695578,0.18247331,0.02261138,-0.000457966,0.995472838
hsa-mir-1293,hsa-mir-1293,grey,0.062463912,0.438542766,-0.123844826,0.123483097,-0.019792245,0.806269883,-0.019340528,0.810607217
hsa-mir-520e,hsa-mir-520e,grey,-0.062309585,0.439677053,-0.129569724,0.106937318,8.93E-05,0.999116796,0.109261501,0.174537018
hsa-mir-550a-1,hsa-mir-550a-1,grey,-0.062290517,0.439817316,0.026092024,0.746450363,0.238300405,0.00273804,0.208001168,0.009171301
hsa-mir-1306,hsa-mir-1306,grey,-0.061917239,0.442568248,0.223150136,0.005108255,0.486270631,1.23E-10,0.426445962,2.84E-08
hsa-mir-423,hsa-mir-423,grey,-0.061868496,0.442928183,0.112105742,0.163518396,0.454057991,2.63E-09,0.231387245,0.003656946
hsa-mir-200a,hsa-mir-200a,grey,0.061442879,0.446078136,-0.011949672,0.882298353,0.167120271,0.037048235,0.095130665,0.237480861
hsa-mir-3652,hsa-mir-3652,grey,0.061206104,0.447835937,-0.01266446,0.875313264,0.032998221,0.682580501,0.051219761,0.525424154
hsa-mir-615,hsa-mir-615,grey,0.060919708,0.449967321,0.060237928,0.455064034,0.172861744,0.030931688,0.082303246,0.307048929
hsa-mir-196a-2,hsa-mir-196a-2,grey,0.060897521,0.450132679,-0.13033476,0.104864688,0.002294298,0.977322908,-0.069307849,0.389939474
hsa-mir-135a-2,hsa-mir-135a-2,grey,0.060617601,0.452221785,-0.026457375,0.743023385,0.131790542,0.101008032,-0.086871522,0.280882651
hsa-mir-642a,hsa-mir-642a,grey,0.060592373,0.45241034,0.134072729,0.095188251,0.373191771,1.60E-06,0.172476048,0.03131381
hsa-mir-3158-1,hsa-mir-3158-1,grey,0.060583169,0.452479139,-0.01452988,0.857130507,0.043572457,0.589128396,-0.035526797,0.659719917
hsa-mir-888,hsa-mir-888,grey,0.060547192,0.452748122,0.034281952,0.670936757,0.035666012,0.658470141,-0.002390782,0.976369522
